timestamp;temperatura;umidade;pressao;qualidade;luminosidade
2024-03-02T17:14:54-04:00;28,77;82,38;1004,41;38,72;100
2024-03-02T17:15:24-04:00;28,82;82,1;1004,41;38,56;100
2024-03-02T17:15:54-04:00;28,88;82,06;1004,41;38,22;100
2024-03-02T17:16:24-04:00;28,94;81,8;1004,42;38,29;100
2024-03-02T17:16:54-04:00;28,97;81,51;1004,42;38,22;100
2024-03-02T17:17:24-04:00;28,98;81,38;1004,42;38,26;100
2024-03-02T17:17:54-04:00;28,97;81,46;1004,42;38,29;100
2024-03-02T17:18:24-04:00;28,97;82;1004,42;38,42;100
2024-03-02T17:18:54-04:00;28,97;82;1004,42;38,26;100
2024-03-02T17:19:24-04:00;28,96;82;1004,44;38,19;100
2024-03-02T17:19:54-04:00;28,97;81,49;1004,43;38,16;100
2024-03-02T17:20:24-04:00;29,01;81;1004,43;38,03;100
2024-03-02T17:20:54-04:00;29,09;80,9;1004,43;37,96;100
2024-03-02T17:21:24-04:00;29,14;80,83;1004,44;37,64;100
2024-03-02T17:21:54-04:00;29,19;80,63;1004,45;37,74;100
2024-03-02T17:22:24-04:00;29,23;80,5;1004,47;37,32;100
2024-03-02T17:22:54-04:00;29,23;80,5;1004,47;37,42;100
2024-03-02T17:23:24-04:00;29,22;80,42;1004,47;37,7;100
2024-03-02T17:23:54-04:00;29,19;81;1004,49;37,61;100
2024-03-02T17:24:24-04:00;29,18;80,52;1004,49;37,38;100
2024-03-02T17:24:54-04:00;29,17;80;1004,49;37,51;100
2024-03-02T17:25:24-04:00;29,17;80,49;1004,5;37,64;100
2024-03-02T17:25:54-04:00;29,19;80;1004,5;37,45;100
2024-03-02T17:26:24-04:00;29,2;80,45;1004,5;37,29;100
2024-03-02T17:26:54-04:00;29,2;80,46;1004,5;37,42;100
2024-03-02T17:27:24-04:00;29,17;80,56;1004,5;37,64;100
2024-03-02T17:27:54-04:00;29,13;80,86;1004,51;37,8;100
2024-03-02T17:28:24-04:00;29,08;81;1004,52;37,99;100
2024-03-02T17:28:54-04:00;29,03;81,44;1004,52;37,9;100
2024-03-02T17:29:24-04:00;29;81,47;1004,52;37,9;100
2024-03-02T17:29:54-04:00;28,96;82;1004,52;37,83;100
2024-03-02T17:30:24-04:00;28,95;82;1004,53;37,8;100
2024-03-02T17:30:54-04:00;28,96;81,39;1004,53;37,77;100
2024-03-02T17:31:24-04:00;28,99;81,26;1004,54;37,61;100
2024-03-02T17:31:54-04:00;29,06;80,88;1004,54;37,45;100
2024-03-02T17:32:24-04:00;29,14;80,61;1004,55;37,35;100
2024-03-02T17:32:54-04:00;29,24;80,22;1004,56;37,2;100
2024-03-02T17:33:24-04:00;29,35;79,78;1004,55;36,82;100
2024-03-02T17:33:54-04:00;29,48;79,25;1004,55;36,64;100
2024-03-02T17:34:24-04:00;29,64;78,56;1004,56;36,52;100
2024-03-02T17:34:54-04:00;29,81;77,83;1004,56;36,16;100
2024-03-02T17:35:24-04:00;29,98;77,11;1004,56;35,99;100
2024-03-02T17:35:54-04:00;30,14;76,63;1004,56;35,75;100
2024-03-02T17:36:24-04:00;30,25;76,04;1004,56;35,61;100
2024-03-02T17:36:54-04:00;30,31;75,92;1004,55;35,61;100
2024-03-02T17:37:24-04:00;30,38;75,95;1004,56;35,41;100
2024-03-02T17:37:54-04:00;30,45;75,63;1004,56;35,41;100
2024-03-02T17:38:24-04:00;30,53;75,24;1004,55;35,41;100
2024-03-02T17:38:54-04:00;30,63;74,62;1004,55;35,24;100
2024-03-02T17:39:24-04:00;30,74;74,14;1004,56;35,05;100
2024-03-02T17:39:54-04:00;30,82;73,75;1004,57;34,96;100
2024-03-02T17:40:24-04:00;30,91;73,39;1004,58;34,88;100
2024-03-02T17:40:54-04:00;30,99;73,29;1004,6;34,77;100
2024-03-02T17:41:28-04:00;31,07;72,89;1004,61;34,61;100
2024-03-02T17:41:54-04:00;31,16;72,33;1004,63;34,45;100
2024-03-02T17:42:24-04:00;31,25;72,25;1004,64;34,31;100
2024-03-02T17:42:54-04:00;31,33;71,73;1004,65;34,29;100
2024-03-02T17:43:24-04:00;31,4;71,55;1004,65;34,15;100
2024-03-02T17:43:54-04:00;31,48;71,79;1004,65;34,1;100
2024-03-02T17:44:24-04:00;31,55;71,04;1004,65;33,97;100
2024-03-02T17:44:54-04:00;31,62;71,56;1004,64;33,87;100
2024-03-02T17:45:24-04:00;31,67;71,53;1004,62;33,74;100
2024-03-02T17:45:54-04:00;31,73;70,72;1004,62;33,87;100
2024-03-02T17:46:24-04:00;31,76;70,77;1004,63;33,74;100
2024-03-02T17:46:54-04:00;31,75;71,25;1004,64;33,76;100
2024-03-02T17:47:24-04:00;31,77;70,82;1004,66;33,89;100
2024-03-02T17:47:54-04:00;31,77;71,1;1004,67;33,81;100
2024-03-02T17:48:24-04:00;31,77;71,34;1004,67;33,79;100
2024-03-02T17:48:54-04:00;31,78;70,79;1004,68;33,79;100
2024-03-02T17:49:24-04:00;31,79;70,66;1004,69;33,84;100
2024-03-02T17:49:54-04:00;31,76;71,81;1004,69;33,76;100
2024-03-02T17:50:24-04:00;31,72;72,2;1004,69;33,79;100
2024-03-02T17:50:54-04:00;31,64;73,01;1004,71;33,92;100
2024-03-02T17:51:24-04:00;31,59;72,78;1004,71;34,08;100
2024-03-02T17:51:54-04:00;31,56;72,1;1004,71;34,08;100
2024-03-02T17:52:24-04:00;31,51;73,23;1004,71;34,08;100
2024-03-02T17:52:54-04:00;31,49;73,32;1004,71;34,02;100
2024-03-02T17:53:24-04:00;31,5;72,84;1004,71;34,1;100
2024-03-02T17:53:54-04:00;31,51;72,5;1004,71;34,08;100
2024-03-02T17:54:24-04:00;31,55;71,78;1004,71;34,08;100
2024-03-02T17:54:54-04:00;31,58;71,93;1004,71;33,97;100
2024-03-02T17:55:24-04:00;31,62;72,09;1004,71;33,89;100
2024-03-02T17:55:54-04:00;31,65;71;1004,71;33,89;100
